Site,url
Yuc_Norte_GLAS_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Yuc_Norte_GLAS_Apr2013/lidar/geotiff/AMIGACarb_Yuc_Norte_GLAS_Apr2013_CHM.tar.gz
Yuc_South_NFI_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Yuc_South_NFI_Apr2013/lidar/geotiff/AMIGACarb_Yuc_South_NFI_Apr2013_CHM.tar.gz
Yuc_South_GLAS_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Yuc_South_GLAS_Apr2013/lidar/geotiff/AMIGACarb_Yuc_South_GLAS_Apr2013_CHM.tar.gz
Yuc_Centro_GLAS_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Yuc_Centro_GLAS_Apr2013/lidar/geotiff/AMIGACarb_Yuc_Centro_GLAS_Apr2013_CHM.tar.gz
Yuc_Centro_NFI_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Yuc_Centro_NFI_Apr2013/lidar/geotiff/AMIGACarb_Yuc_Centro_NFI_Apr2013_CHM.tar.gz
Kuiic3_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/Kuiic3_Apr2013/lidar/geotiff/Kuiic3_Apr2013_CHM.tif.gz
Kuiic2_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/Kuiic2_Apr2013/lidar/geotiff/Kuiic2_Apr2013_CHM.tif.gz
Kuiic1_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/Kuiic1_Apr2013/lidar/geotiff/Kuiic1_Apr2013_CHM.tif.gz
Yuc_Norte_NFI_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Yuc_Norte_NFI_Apr2013/lidar/geotiff/AMIGACarb_Yuc_Norte_NFI_Apr2013_CHM.tar.gz
Out_of_the_Yuc_GLAS_May2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Out_of_the_Yuc_GLAS_May2013/lidar/geotiff/AMIGACarb_Out_of_the_Yuc_GLAS_May2013_CHM.tar.gz
Out_of_the_Yuc_NFI_May2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Out_of_the_Yuc_NFI_May2013/lidar/geotiff/AMIGACarb_Out_of_the_Yuc_NFI_May2013_CHM.tar.gz
Yuc_North_2_GLAS_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Yuc_North_2_GLAS_Apr2013/lidar/geotiff/AMIGACarb_Yuc_North_2_GLAS_Apr2013_CHM.tar.gz
Yuc_North_2_NFI_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Yuc_North_2_NFI_Apr2013/lidar/geotiff/AMIGACarb_Yuc_North_2_NFI_Apr2013_CHM.tar.gz
